,text,category,polarity
723,it's definately not a place to go if you want to impress someone .,4,-1
724,"well , their deliveries take for ever and the food is usually cold .",0,-1
725,"well , their deliveries take for ever and the food is usually cold .",1,-1
726,the staff is no nonsense .,1,1
727,chinese desserts are known for healthful benefits in addition to the sweetness .,0,1
728,wonderful at holiday time .,4,1
729,and really large portions .,0,1
730,the place is a lot of fun .,4,1
731,this is a great thai restaurant with a very friendly staff .,4,1
732,this is a great thai restaurant with a very friendly staff .,1,1
733,"have eaten at ginger house several times , and it's always good .",4,1
734,i ordered the smoked salmon and roe appetizer and it was off flavor .,0,-1
735,"we went here for lunch a couple of weeks ago on a saturday , and i was thoroughly impressed with the food .",0,1
736,"i recommend the garlic shrimp , okra ( bindi ) , and anything with lamb .",0,1
737,"as a japanese native , i've lived in the tristate area for over 8 years , but i was just so amazed at this place .",4,1
738,"to give you an idea of how good we thought it was , we ended up going to ping's three weekends in a row!!!",4,1
739,"as we were leaving , the couple standing by the door said to another waiter , we're not in a hurry .",4,0
740,"the menu was impressive with selections ranging from a burger , to steak , to escargot .",0,1
741,"in fact , two people could really share one plate .",0,1
742,the food is great and authentic .,0,1
743,this was a repeat visit and we'll definitely be back again .,4,1
744,during happy hour!,4,0
745,good for casual dinner with jeans and sneakers .,4,1
746,love yuka .,4,1
747,"anyway , the food is good , the price is right and they have a decent wine list .",0,1
748,"anyway , the food is good , the price is right and they have a decent wine list .",5,1
749,"go , go , hurry , before everyone finds out about it .",4,1
750,prices are higher to dine in and their chicken tikka marsala is quite good .,0,1
751,prices are higher to dine in and their chicken tikka marsala is quite good .,5,-1
752,i am bringing my whole family back next time .,4,1
753,this place has many different styles of pizza and they are all amazing .,0,1
754,the photos of the restaurant in its web site are way better than the real look .,3,-1
755,the food was lousy - too sweet or too salty and the portions tiny .,0,-1
756,but the coconut rice was good .,0,1
757,it took them 25 minutes to bring our appetizer .,1,-1
758,a guaranteeed delight!,4,1
759,i have been coming to this neighborhood spot for years .,4,0
760,overall i would recommend it and go back again .,4,1
761,the food was great .,0,1
762,pair you food with the excellent beers on tap or their well priced wine list .,0,1
763,pair you food with the excellent beers on tap or their well priced wine list .,5,1
764,if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here .,3,-1
765,if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here .,5,-1
766,all of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place .,0,1
767,"anyway , this is the last time i cross the williamsburg .",4,-1
768,metrazur has a beautiful spot overlooking the main terminal .,3,1
769,friendly staff that actually lets you enjoy your meal and the company you're with .,1,1
770,"when i'm feeling stressed by the noise and congestion around my office , i head for cafe st . bart's .",4,0
771,guess the 555soul ads didn't launch her big modeling career .,4,0
772,the restaurant is rather small but we were lucky to get a table quickly .,1,1
773,the restaurant is rather small but we were lucky to get a table quickly .,3,-1
774,"besides , we were on vacation!",4,0
775,i love this cozy around the way rest .,3,1
776,"quality of food is excellent and price is cheap , stick to pork , fish , chicken , lamb and vegetables .",0,1
777,"quality of food is excellent and price is cheap , stick to pork , fish , chicken , lamb and vegetables .",5,1
778,don't leave without trying one night in tokyo .,4,1
779,save yourself the time and trouble and skip this one!,4,-1
780,this is my favorite italian restaurant in all of new york city .,4,1
781,"the place is a little tight and on a cold day , the seating by the entranceway can be pretty drafty .",3,-1
782,the appetizing is excellent - just as good as zabars barney greengrass at a reasonable price ( if bought by the pound ) .,0,1
783,the appetizing is excellent - just as good as zabars barney greengrass at a reasonable price ( if bought by the pound ) .,5,1
784,"but , they were too big for the bun .",0,-1
785,"the food is fresh , delicious , and reasonably priced .",0,1
786,"the food is fresh , delicious , and reasonably priced .",5,1
787,raga stands out with an interesting fusion of french and indian cooking .,0,1
788,"a few tips : skip the turnip cake , roast pork buns and egg custards .",0,-1
789,the bagels are fabulous .,0,1
790,"oh yes , and they lie on the phone , claiming they have seating in the garden , then of course the seats are not available .",1,-1
791,although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat .,1,1
792,although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat .,3,1
793,"the food was very good , a great deal , and the place its self was great .",0,1
794,"the food was very good , a great deal , and the place its self was great .",3,1
795,"the food was very good , a great deal , and the place its self was great .",5,1
796,the food options rule .,0,1
797,a great choice at any cost and a great deal .,4,1
798,a great choice at any cost and a great deal .,5,1
799,"anybody who likes this place must be from a different planet , where greasy , dry and tasteless are complimentary .",0,-1
800,"we ate here in march , 2006 and ordered the pre-theatre 3-course dinner with wine flight .",0,0
801,definately check it out!!!,4,1
802,"probably much busier for lunch , it's seldom crowded for dinner ( too close to downtown ) .",3,0
803,"their calzones are horrific , bad , vomit-inducing , yuck .",0,-1
804,it takes forever to get a drink and they almost always forget to bring something ( although they dont forget to charge you for it .,1,-1
805,the place itself is beautiful the bar scene seems to be happening .,3,1
806,"saturday , nov . 6th i had a group from work come in with about 35 people and the staff was amazing to accomodate us .",1,1
807,"good spreads , great beverage selections and bagels really tasty .",0,1
808,"first , the waiter who served us neglected to fill us in on the specials , which i would have chosen had i known about them .",1,-1
809,we will be back .,4,1
810,"also , top the meal with a delicious and perfect slice of tiramisu .",0,1
811,it seems like this is a place the locals like and the people working here liked it too .,4,1
812,check out the secret back room .,3,1
813,"it's also attached to angel's share , which is a cool , more romantic bar . . .",3,1
814,"authentic food and they have real service , not just the rush you get sometimes when they try to push you out the door .",0,1
815,"authentic food and they have real service , not just the rush you get sometimes when they try to push you out the door .",1,1
816,stick to the gulab jamun .,0,1
817,"i am amazed by the poor reviews- i find this place to be standout italian in an area flooded with italian- great prices , great atmosphere , good service and a wonderful wine list .",0,1
818,"i am amazed by the poor reviews- i find this place to be standout italian in an area flooded with italian- great prices , great atmosphere , good service and a wonderful wine list .",1,1
819,"i am amazed by the poor reviews- i find this place to be standout italian in an area flooded with italian- great prices , great atmosphere , good service and a wonderful wine list .",3,1
820,"i am amazed by the poor reviews- i find this place to be standout italian in an area flooded with italian- great prices , great atmosphere , good service and a wonderful wine list .",5,1
821,i was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again .,1,-1
822,i was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again .,3,-1
823,with the theater 2 blocks away we had a delicious meal in a beautiful room .,0,1
824,with the theater 2 blocks away we had a delicious meal in a beautiful room .,3,1
825,"i was a little leary about mary's at first - it's small , crowded and you usually have to wait on line - but i'm glad i finally tried it .",3,-1
826,"i was a little leary about mary's at first - it's small , crowded and you usually have to wait on line - but i'm glad i finally tried it .",4,1
827,we were not dissappointed in the least bit by this little gem .,4,1
828,also very inexpensive .,5,1
829,"we've only eaten in the restaurant once , but we have ordered many times for dinner .",4,0
830,i got enough reasons to keep coming back!!!,4,1
831,by far this is the only chinese desserts place i know in ny or anywhere close in the northeastern america that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar .,0,1
832,the food is great and reasonably priced .,0,1
833,the food is great and reasonably priced .,5,1
834,the characters really make for an enjoyable experience .,3,1
835,i would definitely recommend sea if you like thai cuisine!,0,1
836,"over the years the host , vittorio , and his crew , have always treated me as family--although with all the business this not-so-little gem does , it amazing he's even able to remember a consistent but not-so-frequent visitor .",1,1
838,"the restuarant itself is not large , but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic taiwanese .",5,1
839,"the restuarant itself is not large , but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic taiwanese .",0,1
841,you cannot go wrong with this place .,4,1
842,"it is the type of place to run into old friends and have a late , raucus dinner .",4,1
843,"the food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .",0,1
844,prices are in line .,5,0
845,"the combination of fresh tomato sauce , fresh mozz cheese , basil and the dough they make with imported flour , makes this is one of the better pizza's in ny .",0,1
846,the food is prepared quickly and efficiently .,0,1
847,and for this i had to shell out a small fortune?,5,-1
848,"for all of you new to indian food , try the paneer roll , it is a piece of heaven .",0,1
849,the food looked very appetizing and delicious since it came on a variety of fancy plates .,0,1
850,both the fresh mozzerella slices and the plain cheese slice are phenomenal .,0,1
851,i have tried literally every restaurant on curry row .,4,0
852,"the food is terrible and overall , i would have to say avoid at all costs .",0,-1
853,"i've been to this monster sushi twice , the 46th st once , the 23rd st one a number of times .",4,0
854,"unfortunately , the food was not something to get worked up about .",0,-1
855,"it's constantly open , catering to the pakistani cabbies lined up on crosby st . , so there's more turnover with the food than you'd expect ( i .e . , surprisingly fresh ) .",0,1
856,"it's constantly open , catering to the pakistani cabbies lined up on crosby st . , so there's more turnover with the food than you'd expect ( i .e . , surprisingly fresh ) .",3,1
857,i had filet mignon with garlic mash .,0,0
858,"i went at 6 :00 pm specifically for the pre-theater menu ( $19 .95 for roasted tomato soup with chevre , steak frites , creme brulee ) and it was marvelous .",0,1
859,"i went at 6 :00 pm specifically for the pre-theater menu ( $19 .95 for roasted tomato soup with chevre , steak frites , creme brulee ) and it was marvelous .",5,1
860,"the waitstaff were attentive , polite and helpful - an impressive feat in such close quarters .",1,1
861,go inside and you won't want to leave .,4,1
862,i loving bringing friends here - and i do so every chance i get .,4,1
863,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes , however be warned that the peter's favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top , like a salad .",0,1
865,"the large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .",0,1
866,"have always found that the waiters will go out of their way to be helpful , despite the fact they are often busy with lots of diners .",1,1
867,"while this isn't classical restaurant fare , the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely indian without being heavy or same old restaurant burn-outs .",0,1
868,the owner truly caters to all your needs .,1,1
869,he takes real pride in his food and his business .,1,1
870,he takes real pride in his food and his business .,0,1
871,every time in new york i make it a point to visit restaurant saul on smith street .,4,1
872,my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent .,4,1
873,"so if you want a nice , enjoyable meal at montparnasse , go early for the pre-theater prix-fixe .",0,1
874,"so if you want a nice , enjoyable meal at montparnasse , go early for the pre-theater prix-fixe .",5,1
875,"over the years , it has always provided a pleasurable dining experience with quality food and wine .",0,1
876,i would go back tho .,4,1
877,"the photobook menu was a cute touch , certainly helped my group and i pick the fried chicken , pork chop , and noodle dishes that we all ordered .",0,1
878,too large for just two people but nothing was left .,0,1
879,i cannot imagine better indian food in all of the city .,0,1
880,great romantic place for a date ( try to get the corner booth table for a little privacy and to sit close! ) .,3,1
881,a pleasant surprise .,4,1
882,i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,1,-1
884,we got most of it back at home with us .,4,0
885,get there before 7pm .,4,0
886,very good breads as well .,0,1
887,"if this happens , just ask for real naan .",4,0
888,we were fans of the half-price saturday night option until some inedible squid during a recent visit .,0,-1
889,we were fans of the half-price saturday night option until some inedible squid during a recent visit .,5,1
891,"pizza is terrific , as is homemade pasta .",0,1
892,definitely a neighborhood favorite .,4,1
893,this is a wonderful place on all stand points especially value ofr money .,5,1
894,my first encounter happened one friday evening with a friend .,4,0
895,example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz .,5,1
897,there are other people waiting!,1,0
898,"from beginning appetizers , the scallops were incredible , to the delicious chocolate souffle with rasberry mint sorbet , we were delighted by the taste sensations .",0,1
899,ou must try this restaurant .,4,1
900,"we left , never to return .",4,-1
901,consistently good japanese tapas .,0,1
902,no apologies during restaurant week .,4,-1
903,"my goodness , everything from the fish to the rice to the seaweed was absolutely amazing .",0,1
905,they also do a great job for restaurant week .,4,1
906,i went to this restaurant with a woman that i met recently .,4,0
907,"the dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest i've ever had ) .",0,1
908,this is where the aforementioned line was .,4,0
909,the food is reliable and the price is moderate .,0,1
910,the food is reliable and the price is moderate .,5,0
911,"aside from the bearded , courdoroy blazer professor type with the nyu student he's sleeping with that week , you see a strange mix of hipsters , frat boys , will smith types who need to be told they are black , bitter cougars who cant understand why they arent married yet . . . .",3,0
912,"while the ambiance and atmosphere were great , the food and service could have been a lot better .",0,-1
913,"while the ambiance and atmosphere were great , the food and service could have been a lot better .",1,-1
914,"while the ambiance and atmosphere were great , the food and service could have been a lot better .",3,1
915,we always go there on the weekends and leave extremely full and satisfied .,4,1
916,i dont how this place is still running .,4,-1
917,the server was really cool and served us our food and drinks with a smile .,1,1
918,we were in search of food and stumbled on this block of indian restaurants on east sixth street .,4,0
919,"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .",0,1
920,"very excited to hear that short-term chef jason narone has moved on , he truly was a low point of their sterling track record .",4,-1
921,excellent experience .,4,1
922,"well worth the trip , close to city hall and downtown subway stops .",4,1
923,i had to share my table with a loud group of kids and the service was rude an unattentive .,1,-1
924,i had to share my table with a loud group of kids and the service was rude an unattentive .,3,-1
925,what more could you want?,4,1
926,"if you are the type of person who likes being scared and entertained , this is a great place to go and eat .",4,1
927,"all in all , i don't see how you can go wrong .",4,1
928,the sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp .,0,1
929,"we recently decided to try this location , and to our delight , they have outdoor seating , perfect since i had my yorkie with me .",3,1
930,"my husband had the mesclun , salmon , and ice cream and he enjoyed all 3 courses .",0,1
931,we were told that the wait was about twenty minutes and there would be no problem for our 8 :00 pm curtain call .,4,0
932,the food is usually good but it certainly isn't a relaxing place to go .,0,1
933,the food is usually good but it certainly isn't a relaxing place to go .,3,-1
934,i'm told that it is open 24hrs which is good .,4,1
935,"super friendly and knowledgable staff , fabulous bistro fare and a wonderful jazz brunch with great live jazz ( the chilaquiles were awesome!",0,1
936,"super friendly and knowledgable staff , fabulous bistro fare and a wonderful jazz brunch with great live jazz ( the chilaquiles were awesome!",1,1
937,"super friendly and knowledgable staff , fabulous bistro fare and a wonderful jazz brunch with great live jazz ( the chilaquiles were awesome!",3,1
938,the prices were fantastic .,5,1
939,what a great place!,4,1
940,"still , any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house . . .",0,1
943,"it's not mind-blowing , but to me , thai food never is and never will be .",0,0
947,"i've been to sapphire twice and both times the food was fine , if not good .",0,1
949,was surprisingly disappointed .,4,-1
950,i love the fact that the pizza tastes so good and is so cheap .,0,1
951,i love the fact that the pizza tastes so good and is so cheap .,5,1
952,nicky the nose at the bar is a treat .,1,1
953,i went to ruby foo's after work with a group of 6 .,4,0
954,i'm amazed we haven't been kicked out of this place yet .,4,0
955,"service was prompt , friendly and great .",1,1
956,"i haven't eat a lamb chop as delicious as that ,the salads are really nice dressed with lemon and extra virgnin olive oil .",0,1
957,the sushi was awful!,0,-1
958,katz's has been a nyc original for over 100 years .,4,1
959,you can get an excellent meal at most of the many indian restaurants on nearby lexington avenue for the cost of one the dainty dishes here .,5,-1
960,"the pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down , it was a pleasurable experience .",0,1
961,the plain pizza was soggy and the creative wild mushroom( third generation-fornini ) pizza we had was drenched with truffle oil in the middle( again making it soggy ) and nothingon the rest .,0,-1
962,"late nite omelletes are not good here , there is no variety!",0,-1
963,everything at sala thai is tasty and well-portioned .,0,1
964,"after all that , they complained to me about the small tip .",1,-1
965,it's a great place to pick up a cheap lunch or dinner .,5,1
966,"behind this counter , two men are squeezed in .",3,-1
967,great find!!!,4,1
968,"if only they delivered , they'd make a mint!",4,1
969,"whenever you need a sushi fix , mizu will be there with quality fish and great service .",0,1
970,"whenever you need a sushi fix , mizu will be there with quality fish and great service .",1,1
971,"our waitress was sweet and accomodating , not overbearing .",1,1
972,went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them .,1,-1
973,i was really disappointed ant wanted to tell everyone not to go eat or even take out food from there .,4,-1
977,the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,3,1
978,"a large is $20 , and toppings are about $3 each .",5,-1
979,"in any event , this is a place i'll be sure to stop by again when i'm in this part of town .",4,1
980,i definitely wouldn't go back .,4,-1
981,it is not worth for that bucks .,5,-1
982,brick oven gallery is my pick for best pizza restaurant anywhere .,4,1
983,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,0,1
984,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,5,1
985,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,1,1
986,"for many people , this may not seem like aunthentic thai food because most places in nyc arent quite authentic .",0,-1
987,"growing up in ny , i have eaten my share of bagels .",4,0
988,"oh , don't even let me start with how expensive the bills were!",5,-1
989,a hearty two thumbs up!,4,1
990,the scallion pancakes and fried dumplings were nothing out of the ordinary .,0,0
991,"all the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious!!!",0,1
992,"besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we hadn't ordered three times , received one of our orders 20 minutes after the rest of the table had been served ( and that order was undercooked ) , and charged $45 more than we should have been on our bill .",1,-1
993,"besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we hadn't ordered three times , received one of our orders 20 minutes after the rest of the table had been served ( and that order was undercooked ) , and charged $45 more than we should have been on our bill .",5,-1
994,service is top notch .,1,1
995,the food now is inconsistent .,0,-1
996,all pretty good .,4,1
997,"you can also special order any kind of dumpling ,etc .",4,1
998,you guys rock .,4,1
999,chance is a joke .,4,-1
1000,i was pretty much full after our fondue appetizer .,0,1
1001,i was pretty much full after our fondue appetizer .,4,1
1002,be careful before you request extra spice .,0,0
1003,the octopus eaters were floored by the octopus salad .,0,1
1004,we thought that this place is using too much of msg cooking in the foods .,0,-1
1005,i was at rao's last wed .,4,0
1006,and the tom kha soup was pathetic .,0,-1
1007,i started out with a bombay beer which was big enough for two .,0,1
1008,"the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date .",3,1
1009,service was quick .,1,1
1010,tends to turn people away .,4,-1
1011,we thought this a prelude to what the evening will be like .,4,0
1012,"i was turned on to this restaurant by a fellow foodie friend of mine , and have been going back regularly ever since .",4,1
1013,drawbacks : service is slow and they don't toast!,1,-1
1014,went there for an office lunch .,4,0
1015,i have been doing all of the above at the heartland brewery for over 5 years now and i have never been disappointed!,4,1
1018,"we've been following chef lyle's food around new york for 15 years and while remaining classic , his innovations with bistro fare have made us return and return .",0,1
1019,the best thing i tasted were the lambchops .,0,1
1020,it's delicious!,0,1
1021,the spicy tuna and salmon are the best we've ever had .,0,1
1022,"even though its good seafood , the prices are too high .",0,1
1023,"even though its good seafood , the prices are too high .",5,-1
1024,"in addition , the food is very good and the prices are reasonable .",0,1
1025,"in addition , the food is very good and the prices are reasonable .",5,1
1026,"upon entering , we were greeted by the owners , steven and frederick , who went out of their way to be more than gracious hosts .",1,1
1027,"if you live outside the neighborhood , don't bother!",4,-1
1028,been going here since it opened have seen the quality value decrease considerably .,4,-1
1029,"meat dishes now adorn the selections , although there's still a large number of vegetarian-friendly choices .",0,0
1030,i never had anything i didn't like here .,4,1
1031,reasonable prices .,5,1
1032,they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration .,1,1
1033,"try the crunchy tuna , it is to die for .",0,1
1034,it won't break the bank but i also wouldnt come back for the food .,0,-1
1036,"all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .",4,1
1037,i've been to joya twice and i will never go again .,4,-1
1038,so rushing us out was absolutely unnecessary!,4,-1
1039,however it is the only taiwanese restaurant in town .,4,0
1040,it is a lot of fun with live entertainment and all kinds of disney type special effects .,3,1
1041,"if you're looking for perfect traditional sushi , go here - if you're looking for interesting combinations , try sushi of gari's ( east side ) .",0,1
1042,"no refills on fountain drinks , though .",0,-1
1043,wow over 100 beers to choose from .,0,1
1044,be careful of portions - they're huge .,0,1
1045,"the steak tartare is a great bet , they fix it for you at the table .",0,1
1046,my first time there i happened not to like the crab croquette apt that i ordered and they were happy to change it for me without making no big deal .,1,1
1047,my first time there i happened not to like the crab croquette apt that i ordered and they were happy to change it for me without making no big deal .,0,-1
1048,great for large groups and celebrations - our super happy waiter was the entertainment of the evening .,1,1
1049,great for large groups and celebrations - our super happy waiter was the entertainment of the evening .,4,1
1050,did i mention the wine?,0,0
1051,"plus , on wednesday nights the house wine is unlimited!",0,1
1052,it is by far my favorite restaurant in brooklyn .,4,1
1053,now it's so crowded and loud you can't even talk to the person next to you .,3,-1
1054,love pizza 33 . .,4,1
1055,even my indian friend couldn't believe how good and tasty everything was .,0,1
1056,"i'm from england , and haru's was the best i had in nyc .",4,1
1057,less = more in their case .,4,1
1058,ruby foo's is a tourist trap .,4,-1
1059,i've been here a couple of times and have not been impressed .,4,-1
1060,i've been many time and have never been disappointed .,4,1
1061,ciao bella,4,0
1062,like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan .,0,-1
1063,like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan .,1,-1
1064,the dim sum servings here are a bit larger than i'm used to .,0,0
1065,"however , in the summer of 2003 , it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup .",1,0
1066,"however , in the summer of 2003 , it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup .",3,-1
1067,we won't go to this place again for a good meal .,0,-1
1068,it's a much more grown up restaurant compared to the rest of the street .,3,0
1070,we were treated with attitude ever since the moment we stepped into the restaurant!,1,-1
1071,"after dinner , take your date to the huge dance floor , probably one of the biggest you'll see in ny .",3,1
1072,taj mahal offeres gret value and great food .,0,1
1073,taj mahal offeres gret value and great food .,5,1
1074,has the chef and owner changed???,1,0
1075,my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience .,4,1
1076,i absolutely loved this place .,4,1
1077,i wish i lived there as i would eat at this place as often as possible!,4,1
1078,"but don't ever order bacon late at nite ( either platter or in sandwiches , for that matter don't from any take out place ) as it is from the morning frying turns out hard almost like bacos , hurt my molars .",0,-1
1079,"outstanding bagels , but you get what you pay for .",0,1
1080,"outstanding bagels , but you get what you pay for .",5,-1
1081,"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread!",0,1
1082,"if you're in town , it's worth searching for another place .",4,-1
1083,i have tried the various slice joints around the village but this is by far the best one .,4,1
1084,"i found it on a cold night , the perfect spot to warm up .",3,1
1085,they even have a section in the menu called american chinese food!,0,-1
1086,"service was warm and attentive , beef carpaachio was exellent ( huge portion ) and pasta was fresh and well-prepared .",0,1
1087,"service was warm and attentive , beef carpaachio was exellent ( huge portion ) and pasta was fresh and well-prepared .",1,1
1088,kalbi and nebbiolo do work together .,0,0
1089,"best italian food i ever had ( and being italian , that means alot ) .",0,1
1090,i will recommend scopa to all of my friends for a place to go for wonderful italian food .,0,1
1091,located at the end of a magnificent block .,3,1
1092,"this restaurant is not worth the time , effort , or money to say the least .",5,-1
1093,"this restaurant is not worth the time , effort , or money to say the least .",4,-1
1094,"looking around , i saw a room full of new yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .",3,1
1095,"looking around , i saw a room full of new yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .",0,1
1096,keep up the good work guys!,4,1
1097,hurley's is terrific!,4,1
1098,they don't walk around with the trays of dim sum .,3,1
1099,took my sister here before attending a show one evening .,4,0
1100,"great bar , most gorgeous bartenders you've ever seen ( specifically the blond lady ) .",1,1
1101,we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .,1,-1
1102,really .,4,0
1103,i really loved the different and inovated touch that's the cheff gives to the food .,0,1
1104,our friends have not arrived yet .,4,0
1105,they came out over cooked and the cheese was almost non existant .,0,-1
1106,"i had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that wasn't as good .",0,1
1107,"i had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that wasn't as good .",1,1
1108,"the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must!",1,-1
1109,"the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must!",4,1
1110,"my husband and i thougt it would be great to go to the jekyll and hyde pub for our anniversary , and to our surprise it was fantastic .",4,1
1112,"the food is good , especially their more basic dishes , and the drinks are delicious .",0,1
1113,but the main hit was the whole grilled fish .,0,1
1114,"i had the tuna tartare with sake , mushroom ravioli with pinot noir , and the chocolate sampler with a dessert wine for $49 .",5,1
1115,on a hot day it was fabulous to stop in and enjoy lunch .,4,1
1116,the food is delicious and beautifully prepared along with the friendly and personable service .,0,1
1117,the food is delicious and beautifully prepared along with the friendly and personable service .,1,1
1118,i usually go there later at night when i get off work so i don't have to deal with crowds or lines .,4,0
1119,pizza here is consistently good .,0,1
1120,we had a great tiem watching the shows and characters and ar food was just what we were looking for .,0,1
1121,we had a great tiem watching the shows and characters and ar food was just what we were looking for .,3,1
1122,"after 2 tries by the waiter to take it away ( we hadn't even looked at it yet , we had full beers yet to drink ) , the manager approached and told us they needed the table for people with reservations .",1,-1
1123,wouldn't recomend it for dinner!,4,-1
1124,sauce was watery and the food didn't have much flavor .,0,-1
1125,my husband and i enjoy sangria .,0,1
1126,"but after last night , spice grill is the only place i'm eating indian cuisine .",0,1
1127,we both opted for a pasta dish and they were served timely and fresh .,1,1
1128,we both opted for a pasta dish and they were served timely and fresh .,0,1
1129,"first the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course . . .",1,-1
1130,"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food!",0,1
1131,"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food!",3,1
1132,"in an area sadly lacking in decent thai food , this is one of the best spots .",0,1
1133,tell them herky sent you and get a free confused look from the waiter .,4,0
1135,the food was average or above including some surprising tasty dishes .,0,1
1136,they don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai .,0,-1
1137,other apetizers and food,0,0
1138,the noodle and rices dishes taste great .,0,1
1139,the food's as good as ever .,0,1
1140,"the crust is thin , the ingredients are fresh and the staff is friendly .",0,1
1141,"the crust is thin , the ingredients are fresh and the staff is friendly .",1,1
1142,your friends will thank you for introducing them to this gem!,4,1
1143,also a little more expensive than your average bagel place .,5,-1
1144,"the food was undercooked-the sauce watery , and the vegetables raw .",0,-1
1145,and the fried clams had just enough kick to them to make 'em worth eating .,0,1
1146,the sauces used are also not that exciting .,0,-1
1147,the secret is the lunch menu which offers a complimentary appetizer with every entree ordered .,0,1
1148,i absolutely love this place!!!,4,1
1149,the rice was poor quality and was cooked so badly it was hard .,0,-1
1150,we had champagne and caviar and felt like princesses!,0,1
1151,the shrimp scampi was excellent and the antipasti were plentiful .,0,1
1152,i am surprised to say the least and find such practice not worth the effort .,4,-1
1153,"when my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",1,1
1154,"i got the $10 10-piece dim sum combo , every bite of which was great .",5,1
1155,"i got the $10 10-piece dim sum combo , every bite of which was great .",0,1
1156,there are other vietnamese restaurants in the chinatown area and you can forget about those .,4,0
1157,there is also very limited seating and there can be a substantial wait in getting food at peak times .,3,-1
1158,there is also very limited seating and there can be a substantial wait in getting food at peak times .,1,-1
1159,"if it's just a quick martini at the bar ( which i recommend jeffery's ) or a mind blowing roast chicken , go to village!",0,1
1160,no thanks!!!,4,-1
1162,i would definently recommend this restaurant .,4,1
1163,the prices are wonderfully low .,5,1
1164,if you like spicy food get the chicken vindaloo .,0,1
1165,i love this place!,4,1
1166,i have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials .,0,1
1167,i have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials .,5,1
